Year,Data type,Sex,NHHA priority cohort,NSW,Vic,Qld,WA,SA,Tas,ACT,NT,National(a)
2023-24,Number of clients that avoided homelessness,Females,Children and young people,"2,514","3,577","1,251","1,105",758,57,55,579,"9,855"
2023-24,Number of clients that avoided homelessness,Females,Indigenous Australians,"2,033","1,764","1,658","2,304",501,44,31,"1,234","9,510"
2023-24,Number of clients that avoided homelessness,Females,People exiting institutions and care into homelessness,164,378,109,44,81,20,n.p.,30,824
2023-24,Number of clients that avoided homelessness,Females,Older people,621,"1,915",534,515,163,65,26,104,"3,933"
2023-24,Number of clients that avoided homelessness,Males,Women and children affected by family and domestic violence(a),580,"1,232",343,326,184,n.p.,n.p.,272,"2,935"
2023-24,Number of clients that avoided homelessness,Males,Children and young people,"1,859","3,017","1,076",739,580,29,n.p.,364,"7,659"
2023-24,Number of clients that avoided homelessness,Males,Indigenous Australians,"1,068",852,705,"1,027",262,21,n.p.,359,"4,291"
2023-24,Number of clients that avoided homelessness,Males,People exiting institutions and care into homelessness,192,"1,905",114,39,137,24,25,35,"2,459"
2023-24,Number of clients that avoided homelessness,Males,Older people,397,"1,387",360,275,110,56,n.p.,n.p.,"2,612"
2023-24,Number of clients that avoided homelessness,All clients,Women and children affected by family and domestic violence(a),"3,038","7,070","1,956","2,136","1,246",101,79,"1,393","16,922"
2023-24,Number of clients that avoided homelessness,All clients,Children and young people,"4,373","6,594","2,327","1,844","1,338",86,72,943,"17,514"
2023-24,Number of clients that avoided homelessness,All clients,Indigenous Australians,"3,101","2,616","2,363","3,331",763,65,46,"1,593","13,801"
2023-24,Number of clients that avoided homelessness,All clients,People exiting institutions and care into homelessness,356,"2,283",223,83,218,44,36,65,"3,283"
2023-24,Number of clients that avoided homelessness,All clients,Older people,"1,018","3,302",894,790,273,121,40,120,"6,545"
2023-24,Number of At risk clients,Females,Women and children affected by family and domestic violence(a),"3,184","7,247","1,939","2,233","1,246",135,115,"1,390","17,461"
2023-24,Number of At risk clients,Females,Children and young people,"3,178","4,610","1,566","1,388",929,77,82,703,"12,524"
2023-24,Number of At risk clients,Females,Indigenous Australians,"2,517","2,303","2,035","2,883",606,62,46,"1,535","11,986"
2023-24,Number of At risk clients,Females,People exiting institutions and care into homelessness,271,747,184,73,128,35,26,50,"1,511"
2023-24,Number of At risk clients,Females,Older people,695,"2,130",566,578,188,75,36,123,"4,388"
2023-24,Number of At risk clients,Males,Women and children affected by family and domestic violence(a),723,"1,527",405,428,203,n.p.,5,328,"3,619"
2023-24,Number of At risk clients,Males,Children and young people,"2,269","3,839","1,301",914,703,47,24,431,"9,524"
2023-24,Number of At risk clients,Males,Indigenous Australians,"1,316","1,209",886,"1,258",307,34,22,445,"5,485"
2023-24,Number of At risk clients,Males,People exiting institutions and care into homelessness,360,"2,722",204,67,190,48,39,54,"3,682"
2023-24,Number of At risk clients,Males,Older people,463,"1,606",410,301,137,72,16,22,"3,030"
2023-24,Number of At risk clients,All clients,Women and children affected by family and domestic violence(a),"3,907","8,774","2,344","2,661","1,449",136,120,"1,718","21,080"
2023-24,Number of At risk clients,All clients,Children and young people,"5,447","8,449","2,867","2,302","1,632",124,106,"1,134","22,048"
2023-24,Number of At risk clients,All clients,Indigenous Australians,"3,833","3,512","2,921","4,141",913,96,68,"1,980","17,471"
2023-24,Number of At risk clients,All clients,People exiting institutions and care into homelessness,631,"3,469",388,140,318,83,65,104,"5,193"
2023-24,Number of At risk clients,All clients,Older people,"1,158","3,736",976,879,325,147,52,145,"7,418"
2022-23,Proportion of clients that avoided homelessness,Females,Women and children affected by family and domestic violence(a),79.4,77.5,78.6,78.0,84.6,72.3,75.2,80.8,78.4
2022-23,Proportion of clients that avoided homelessness,Females,Children and young people,79.4,75.8,79.3,80.8,82.4,n.p.,n.p.,81.9,78.3
2022-23,Proportion of clients that avoided homelessness,Females,Indigenous Australians,79.1,73.4,79.9,80.9,76.0,n.p.,n.p.,82.7,78.4
2022-23,Proportion of clients that avoided homelessness,Females,People exiting institutions and care into homelessness,65.0,49.7,59.7,n.p.,63.4,n.p.,n.p.,n.p.,56.0
2022-23,Proportion of clients that avoided homelessness,Females,Older people,89.6,90.0,88.8,91.1,90.8,n.p.,n.p.,n.p.,89.7
