Year,Data type,Sex,Age group,NSW,Vic,Qld,WA,SA,Tas,ACT,NT,National(a)
2022-23,Proportion of clients that avoided homelessness,Females,15 to 17,78.2,81.2,69.5,88.8,80.0,n.p.,n.p.,n.p.,78.9
2022-23,Proportion of clients that avoided homelessness,Females,18 to 24,73.9,70.2,73.5,79.8,78.1,n.p.,n.p.,80.3,73.1
2022-23,Proportion of clients that avoided homelessness,Females,25 to 34,82.0,77.8,77.8,78.3,79.8,71.2,n.p.,80.0,78.2
2022-23,Proportion of clients that avoided homelessness,Females,35 to 44,86.4,79.8,79.6,82.9,82.5,n.p.,n.p.,83.9,81.4
2022-23,Proportion of clients that avoided homelessness,Females,45 to 54,88.2,82.8,81.2,84.7,81.2,n.p.,n.p.,85.2,83.6
2022-23,Proportion of clients that avoided homelessness,Females,55 to 64,88.4,87.6,86.2,89.6,89.8,n.p.,n.p.,n.p.,87.6
2022-23,Proportion of clients that avoided homelessness,Females,65+,91.3,93.7,93.1,94.0,n.p.,n.p.,n.p.,n.p.,93.0
2022-23,Proportion of clients that avoided homelessness,Females,Total,83.2,79.8,80.1,82.4,82.3,75.1,79.8,82.5,80.8
2022-23,Proportion of clients that avoided homelessness,Males,0 to 9,82.7,78.6,83.5,78.7,82.9,n.p.,n.p.,84.3,80.8
2022-23,Proportion of clients that avoided homelessness,Males,10 to 14,85.5,82.9,84.7,84.8,91.1,n.p.,n.p.,n.p.,84.6
2022-23,Proportion of clients that avoided homelessness,Males,15 to 17,83.7,80.3,75.5,n.p.,n.p.,n.p.,n.p.,n.p.,81.7
2022-23,Proportion of clients that avoided homelessness,Males,18 to 24,80.3,72.9,74.2,81.9,80.0,n.p.,n.p.,n.p.,75.6
2022-23,Proportion of clients that avoided homelessness,Males,25 to 34,80.2,74.5,70.0,84.5,73.7,n.p.,n.p.,n.p.,74.9
2022-23,Proportion of clients that avoided homelessness,Males,35 to 44,74.4,73.6,72.1,83.5,73.0,n.p.,n.p.,n.p.,73.7
2022-23,Proportion of clients that avoided homelessness,Males,45 to 54,80.9,73.5,76.0,83.1,71.7,n.p.,n.p.,n.p.,75.0
2022-23,Proportion of clients that avoided homelessness,Males,55 to 64,83.4,81.6,81.3,90.1,n.p.,n.p.,n.p.,n.p.,82.5
2022-23,Proportion of clients that avoided homelessness,Males,65+,87.8,87.5,88.9,96.0,n.p.,n.p.,n.p.,n.p.,88.4
2022-23,Proportion of clients that avoided homelessness,Males,Total,81.8,76.5,78.5,83.5,80.2,67.4,72.3,80.1,78.4
2022-23,Proportion of clients that avoided homelessness,All clients,0 to 9,83.5,78.2,84.7,78.4,84.3,n.p.,n.p.,82.5,81.0
2022-23,Proportion of clients that avoided homelessness,All clients,10 to 14,85.0,83.2,85.0,85.0,89.0,n.p.,n.p.,86.0,84.7
2022-23,Proportion of clients that avoided homelessness,All clients,15 to 17,80.3,80.8,72.0,86.6,82.3,n.p.,n.p.,n.p.,80.0
2022-23,Proportion of clients that avoided homelessness,All clients,18 to 24,76.0,71.2,73.7,80.3,78.7,n.p.,n.p.,80.3,73.9
2022-23,Proportion of clients that avoided homelessness,All clients,25 to 34,81.6,76.7,76.2,79.5,78.4,69.0,73.6,79.3,77.3
2022-23,Proportion of clients that avoided homelessness,All clients,35 to 44,83.6,77.5,77.7,83.0,80.0,73.3,82.6,82.1,79.1
2022-23,Proportion of clients that avoided homelessness,All clients,45 to 54,85.8,79.1,79.2,84.2,78.4,74.8,n.p.,82.4,80.5
2022-23,Proportion of clients that avoided homelessness,All clients,55 to 64,86.4,85.0,84.2,89.8,87.1,n.p.,n.p.,n.p.,85.6
2022-23,Proportion of clients that avoided homelessness,All clients,65+,90.0,90.9,91.3,94.8,n.p.,n.p.,n.p.,n.p.,91.1
2022-23,Proportion of clients that avoided homelessness,All clients,Total,82.7,78.5,79.6,82.8,81.6,72.5,77.5,82.0,79.9
2022-23,Number of clients that avoided homelessness,Females,0 to 9,794,"1,119",541,429,307,n.p.,n.p.,184,"3,373"
2022-23,Number of clients that avoided homelessness,Females,10 to 14,426,482,213,172,127,n.p.,n.p.,89,"1,518"
2022-23,Number of clients that avoided homelessness,Females,15 to 17,590,363,146,135,120,n.p.,n.p.,36,"1,406"
2022-23,Number of clients that avoided homelessness,Females,18 to 24,882,"1,219",461,387,268,44,27,208,"3,468"
2022-23,Number of clients that avoided homelessness,Females,25 to 34,"1,248","3,062",790,770,506,79,63,316,"6,781"
2022-23,Number of clients that avoided homelessness,Females,35 to 44,"1,318","2,937",752,751,467,76,68,270,"6,607"
2022-23,Number of clients that avoided homelessness,Females,45 to 54,834,"1,918",457,450,254,48,29,127,"4,104"
2022-23,Number of clients that avoided homelessness,Females,55 to 64,403,966,238,311,123,30,n.p.,50,"2,128"
2022-23,Number of clients that avoided homelessness,Females,65+,284,654,149,171,45,26,26,31,"1,386"
2022-23,Number of clients that avoided homelessness,Females,Total,"6,779","12,720","3,747","3,576","2,217",314,253,"1,311","30,771"
2022-23,Number of clients that avoided homelessness,Males,0 to 9,847,"1,217",570,459,300,n.p.,n.p.,198,"3,591"
2022-23,Number of clients that avoided homelessness,Males,10 to 14,402,505,205,162,133,n.p.,n.p.,40,"1,450"
2022-23,Number of clients that avoided homelessness,Males,15 to 17,371,293,108,66,70,n.p.,n.p.,n.p.,929
2022-23,Number of clients that avoided homelessness,Males,18 to 24,453,756,190,118,112,n.p.,n.p.,25,"1,684"
2022-23,Number of clients that avoided homelessness,Males,25 to 34,291,"1,487",189,197,143,30,n.p.,n.p.,"2,356"
2022-23,Number of clients that avoided homelessness,Males,35 to 44,355,"1,605",233,193,146,23,22,n.p.,"2,581"
2022-23,Number of clients that avoided homelessness,Males,45 to 54,372,"1,132",253,202,91,29,n.p.,n.p.,"2,088"
2022-23,Number of clients that avoided homelessness,Males,55 to 64,247,683,152,154,73,25,n.p.,n.p.,"1,344"
2022-23,Number of clients that avoided homelessness,Males,65+,165,502,104,121,39,n.p.,n.p.,n.p.,957
2022-23,Number of clients that avoided homelessness,Males,Total,"3,503","8,180","2,004","1,672","1,107",149,99,326,"16,980"
2022-23,Number of clients that avoided homelessness,All clients,0 to 9,"1,641","2,336","1,111",888,607,n.p.,n.p.,382,"6,964"
2022-23,Number of clients that avoided homelessness,All clients,10 to 14,828,987,418,334,260,n.p.,n.p.,129,"2,968"
2022-23,Number of clients that avoided homelessness,All clients,15 to 17,961,656,254,201,190,n.p.,n.p.,52,"2,335"
2022-23,Number of clients that avoided homelessness,All clients,18 to 24,"1,335","1,975",651,505,380,63,46,233,"5,152"
2022-23,Number of clients that avoided homelessness,All clients,25 to 34,"1,539","4,549",979,967,649,109,81,329,"9,137"
2022-23,Number of clients that avoided homelessness,All clients,35 to 44,"1,673","4,542",985,944,613,99,90,285,"9,188"
2022-23,Number of clients that avoided homelessness,All clients,45 to 54,"1,206","3,050",710,652,345,77,40,136,"6,192"
2022-23,Number of clients that avoided homelessness,All clients,55 to 64,650,"1,649",390,465,196,55,n.p.,58,"3,472"
2022-23,Number of clients that avoided homelessness,All clients,65+,449,"1,156",253,292,84,44,32,33,"2,343"
2022-23,Number of clients that avoided homelessness,All clients,Total,"10,282","20,900","5,751","5,248","3,324",463,352,"1,637","47,751"
2022-23,Number of At risk clients,Females,0 to 9,941,"1,439",629,550,358,n.p.,8,228,"4,154"
2022-23,Number of At risk clients,Females,10 to 14,504,578,250,202,146,n.p.,8,101,"1,792"
2022-23,Number of At risk clients,Females,15 to 17,754,447,210,152,150,n.p.,17,43,"1,781"
2022-23,Number of At risk clients,Females,18 to 24,"1,193","1,737",627,485,343,65,44,259,"4,742"
2022-23,Number of At risk clients,Females,25 to 34,"1,522","3,934","1,015",983,634,111,85,395,"8,672"
2022-23,Number of At risk clients,Females,35 to 44,"1,525","3,679",945,906,566,96,78,322,"8,113"
