Month and Year,Month,Year,Sex,Age group,NSW,Vic,Qld,WA,SA,Tas,ACT,NT,National,,
Jan-25,January,2025,Male,18?19 years,451,519,384,70,99,70,39,39,"1,669",,
Jan-25,January,2025,Male,20?24 years,827,978,617,132,213,105,54,64,"2,978",,
Jan-25,January,2025,Male,25?29 years,441,761,374,113,205,81,40,59,"2,072",,
Jan-25,January,2025,Male,30?34 years,471,971,470,156,186,92,75,63,"2,479",,
Jan-25,January,2025,Male,35?39 years,497,992,533,162,246,88,61,104,"2,672",,
Jan-25,January,2025,Male,40?44 years,609,"1,056",615,236,230,98,58,105,"2,994",,
Jan-25,January,2025,Male,45?49 years,576,864,546,199,212,82,80,98,"2,647",,
Jan-25,January,2025,Male,50?54 years,524,819,495,219,150,85,60,104,"2,450",,
Jan-25,January,2025,Male,55?59 years,396,555,361,165,132,73,37,97,"1,810",,
Jan-25,January,2025,Male,60?64 years,298,374,233,90,89,80,34,62,"1,258",,
Jan-25,January,2025,Male,65+ years,398,571,360,130,71,148,39,77,"1,793",,
Jan-25,January,2025,Male,All Males,"8,740","12,758","8,163","2,689","2,666","1,175",830,"1,288","38,221",,
Jan-25,January,2025,Total,0?4 years,"2,123","2,475","1,982",601,553,94,133,264,"8,219",,
Jan-25,January,2025,Total,5?9 years,"1,664","2,541","1,828",611,412,75,145,247,"7,515",,
Jan-25,January,2025,Total,10?14 years,"1,503","2,217","1,465",460,368,71,111,203,"6,391",,
Jan-25,January,2025,Total,15?17 years,"1,590","1,496","1,087",322,403,128,118,134,"5,270",,
Jan-25,January,2025,Total,18?19 years,"1,356","1,304","1,018",253,320,213,94,145,"4,695",,
Jan-25,January,2025,Total,20?24 years,"2,717","2,897","1,947",661,687,267,185,321,"9,644",,
Jan-25,January,2025,Total,25?29 years,"1,704","2,634","1,520",641,630,212,136,273,"7,730",,
Jan-25,January,2025,Total,30?34 years,"1,774","3,253","1,680",777,580,223,192,306,"8,760",,
Jan-25,January,2025,Total,35?39 years,"1,816","3,343","1,688",837,684,203,175,356,"9,070",,
Jan-25,January,2025,Total,40?44 years,"1,735","3,035","1,589",823,615,206,143,365,"8,484",,
Jan-25,January,2025,Total,45?49 years,"1,475","2,234","1,285",580,450,157,132,275,"6,567",,
Jan-25,January,2025,Total,50?54 years,"1,276","1,905","1,073",538,342,155,119,251,"5,646",,
Jan-25,January,2025,Total,55?59 years,849,"1,258",710,365,229,127,74,204,"3,808",,
Jan-25,January,2025,Total,60?64 years,623,867,476,202,163,129,56,133,"2,644",,
Jan-25,January,2025,Total,65+ years,828,"1,278",757,309,159,257,82,149,"3,818",,
Jan-25,January,2025,Total,All Ages,"23,033","32,737","20,105","7,980","6,595","2,517","1,895","3,626","98,261",,
Dec-24,December,2024,Female,0?4 years,"1,057","1,216",913,305,263,36,66,117,"3,969",,
Dec-24,December,2024,Female,5?9 years,839,"1,185",830,288,184,37,57,131,"3,546",,
Dec-24,December,2024,Female,10?14 years,774,"1,089",684,217,187,28,59,106,"3,144",,
Dec-24,December,2024,Female,15?17 years,964,810,602,197,248,76,70,84,"3,048",,
Dec-24,December,2024,Female,18?19 years,891,766,617,169,214,139,51,86,"2,924",,
Dec-24,December,2024,Female,20?24 years,"1,843","1,903","1,302",541,445,153,125,252,"6,550",,
