Month and Year,Month,Year,Sex,Client Group,NSW,Vic,Qld,WA,SA,Tas,ACT,NT,National,
Dec-24,December,2024,Male,Number of clients with a current mental health issue,"2,769","3,244","1,616",564,739,428,266,99,"9,705",
Dec-24,December,2024,Male,Number of clients with problematic drug or alcohol issues,890,"1,216",542,358,264,150,84,54,"3,557",
Dec-24,December,2024,Male,Number of clients financially assisted with payments for short term/emergency accommodation,38,869,524,10,12,12,8,3,"1,475",
Dec-24,December,2024,Male,Number of nights in short-term/emergency accommodation,"19,628","25,832","63,783","10,847","2,198","6,066","3,129","1,813","133,296",
Dec-24,December,2024,Male,Number of clients accommodated in short-term/emergency accommodation,882,"1,885","2,662",659,115,331,126,139,"6,793",
Dec-24,December,2024,Male,Number of clients who are homeless,"4,831","6,448","5,230","1,457","1,411",681,380,700,"21,092",
Dec-24,December,2024,Male,Number of clients who are at risk of homelessness,"3,643","5,333","2,417","1,014","1,112",472,396,467,"14,837",
Dec-24,December,2024,Total,Number of Indigenous clients,"7,460","4,792","6,533","3,254","1,817",453,341,"2,921","27,511",
Dec-24,December,2024,Total,Number of clients who have experienced family and domestic violence,"8,384","13,956","5,325","3,868","1,504",500,733,"1,278","35,487",
Dec-24,December,2024,Total,Number of clients with a current mental health issue,"7,879","8,763","4,350","2,027","1,965","1,027",745,300,"27,017",
Dec-24,December,2024,Total,Number of clients with problematic drug or alcohol issues,"1,743","2,226","1,054",852,481,236,185,177,"6,950",
Dec-24,December,2024,Total,Number of clients financially assisted with payments for short term/emergency accommodation,187,"1,802","1,473",83,68,81,24,21,"3,737",
Dec-24,December,2024,Total,Number of nights in short-term/emergency accommodation,"50,481","59,134","152,945","24,176","6,563","11,865","8,604","4,666","318,434",
Dec-24,December,2024,Total,Number of clients accommodated in short-term/emergency accommodation,"2,278","3,991","6,350","1,664",363,617,322,636,"16,207",
Dec-24,December,2024,Total,Number of clients who are homeless,"11,871","14,558","11,933","3,567","3,044","1,441",902,"1,597","48,824",
Dec-24,December,2024,Total,Number of clients who are at risk of homelessness,"10,266","15,905","6,843","3,849","3,154",940,872,"1,655","43,424",
Nov-24,November,2024,Female,Number of Indigenous clients,"5,030","3,035","4,207","2,309","1,151",245,210,"2,090","18,237",
Nov-24,November,2024,Female,Number of clients who have experienced family and domestic violence,"6,613","10,389","3,997","3,039","1,258",378,534,"1,053","27,202",
Nov-24,November,2024,Female,Number of clients with a current mental health issue,"5,376","5,636","2,842","1,497","1,199",582,473,227,"17,807",
Nov-24,November,2024,Female,Number of clients with problematic drug or alcohol issues,927,"1,045",538,521,215,90,101,97,"3,532",
Nov-24,November,2024,Female,Number of clients financially assisted with payments for short term/emergency accommodation,119,992,964,62,63,37,14,31,"2,281",
Nov-24,November,2024,Female,Number of nights in short-term/emergency accommodation,"30,620","32,276","82,216","12,197","3,925","6,115","5,310","2,944","175,603",
Nov-24,November,2024,Female,Number of clients accommodated in short-term/emergency accommodation,"1,430","2,105","3,555","1,076",230,294,196,456,"9,339",
Nov-24,November,2024,Female,Number of clients who are homeless,"7,372","8,162","6,817","2,064","1,691",766,493,"1,013","28,329",
Nov-24,November,2024,Female,Number of clients who are at risk of homelessness,"6,989","10,690","4,593","2,996","2,150",454,512,"1,209","29,534",
Nov-24,November,2024,Male,Number of Indigenous clients,"2,872","1,763","2,604","1,098",718,197,140,"1,043","10,423",
Nov-24,November,2024,Male,Number of clients who have experienced family and domestic violence,"2,185","3,513","1,399",851,317,101,202,255,"8,813",
Nov-24,November,2024,Male,Number of clients with a current mental health issue,"2,986","3,288","1,688",554,720,405,258,102,"9,980",
Nov-24,November,2024,Male,Number of clients with problematic drug or alcohol issues,953,"1,252",585,369,252,146,88,60,"3,705",
Nov-24,November,2024,Male,Number of clients financially assisted with payments for short term/emergency accommodation,59,879,486,10,10,17,8,6,"1,473",
Nov-24,November,2024,Male,Number of nights in short-term/emergency accommodation,"19,051","24,527","58,308","10,303","2,188","5,975","3,175","1,630","125,157",
Nov-24,November,2024,Male,Number of clients accommodated in short-term/emergency accommodation,894,"1,877","2,540",694,149,311,132,134,"6,727",
Nov-24,November,2024,Male,Number of clients who are homeless,"5,141","6,563","5,383","1,487","1,394",668,362,770,"21,719",
Nov-24,November,2024,Male,Number of clients who are at risk of homelessness,"3,810","5,314","2,543","1,057","1,213",419,410,457,"15,197",
Nov-24,November,2024,Total,Number of Indigenous clients,"7,902","4,798","6,811","3,407","1,869",442,350,"3,133","28,660",
Nov-24,November,2024,Total,Number of clients who have experienced family and domestic violence,"8,798","13,902","5,396","3,890","1,575",479,736,"1,308","36,015",
Nov-24,November,2024,Total,Number of clients with a current mental health issue,"8,362","8,924","4,530","2,051","1,919",987,731,329,"27,787",
Nov-24,November,2024,Total,Number of clients with problematic drug or alcohol issues,"1,880","2,297","1,123",890,467,236,189,157,"7,237",
Nov-24,November,2024,Total,Number of clients financially assisted with payments for short term/emergency accommodation,178,"1,871","1,450",72,73,54,22,37,"3,754",
Nov-24,November,2024,Total,Number of nights in short-term/emergency accommodation,"49,671","56,803","140,524","22,500","6,113","12,090","8,485","4,574","300,760",
Nov-24,November,2024,Total,Number of clients accommodated in short-term/emergency accommodation,"2,324","3,982","6,095","1,770",379,605,328,590,"16,066",
Nov-24,November,2024,Total,Number of clients who are homeless,"12,513","14,725","12,200","3,551","3,085","1,434",855,"1,783","50,048",
Nov-24,November,2024,Total,Number of clients who are at risk of homelessness,"10,799","16,004","7,136","4,053","3,363",873,922,"1,666","44,731",
Oct-24,October,2024,Female,Number of Indigenous clients,"4,991","2,981","4,224","2,316","1,120",248,213,"2,105","18,163",
Oct-24,October,2024,Female,Number of clients who have experienced family and domestic violence,"6,691","10,628","4,034","2,996","1,315",388,543,"1,134","27,677",
Oct-24,October,2024,Female,Number of clients with a current mental health issue,"5,449","5,829","2,807","1,516","1,200",570,480,236,"18,062",
Oct-24,October,2024,Female,Number of clients with problematic drug or alcohol issues,940,"1,069",519,509,221,92,106,122,"3,575",
Oct-24,October,2024,Female,Number of clients financially assisted with payments for short term/emergency accommodation,115,"1,074",942,63,59,35,17,13,"2,318",
Oct-24,October,2024,Female,Number of nights in short-term/emergency accommodation,"31,801","32,951","90,585","12,828","3,940","5,873","5,480","3,293","186,751",
Oct-24,October,2024,Female,Number of clients accommodated in short-term/emergency accommodation,"1,450","2,156","3,779","1,039",251,295,194,487,"9,647",
Oct-24,October,2024,Female,Number of clients who are homeless,"7,468","8,250","6,791","2,130","1,691",763,481,"1,009","28,535",
Oct-24,October,2024,Female,Number of clients who are at risk of homelessness,"7,062","10,951","4,638","2,954","2,160",462,539,"1,150","29,877",
Oct-24,October,2024,Male,Number of Indigenous clients,"2,974","1,744","2,585","1,114",723,181,141,997,"10,444",
Oct-24,October,2024,Male,Number of clients who have experienced family and domestic violence,"2,140","3,606","1,389",814,331,105,206,252,"8,833",
Oct-24,October,2024,Male,Number of clients with a current mental health issue,"2,953","3,547","1,664",576,720,399,248,99,"10,183",
Oct-24,October,2024,Male,Number of clients with problematic drug or alcohol issues,958,"1,260",575,376,251,143,92,62,"3,711",
