Month and Year,Month,Year,Sex,Group,Reason for seeking assistance,NSW,Vic,Qld,WA,SA,Tas,ACT,NT,National
Apr-25,April,2025,Female,Financial,Financial difficulties,"4,598","6,839","4,930","1,566",615,349,610,436,"19,919"
Apr-25,April,2025,Female,Financial,Housing affordability stress,"4,768","6,084","5,330","1,345",418,442,714,294,"19,375"
Apr-25,April,2025,Female,Financial,Employment difficulties,564,754,477,190,90,32,118,67,"2,291"
Apr-25,April,2025,Female,Financial,Unemployment,"1,369","1,640","1,227",538,309,71,193,137,"5,478"
Apr-25,April,2025,Female,Interpersonal,Interpersonal Relationships,"8,316","12,380","5,374","3,518","1,637",631,724,"1,154","33,667"
Apr-25,April,2025,Female,Interpersonal,Time out from family/other situation,"1,317","1,247",933,500,69,137,202,311,"4,712"
Apr-25,April,2025,Female,Interpersonal,Relationship/family breakdown,"3,594","3,021","2,277","1,297",478,337,447,213,"11,648"
Apr-25,April,2025,Female,Interpersonal,Family and domestic violence,"6,257","10,647","3,933","2,949","1,205",371,522,903,"26,739"
Apr-25,April,2025,Female,Interpersonal,Non-family violence,297,363,186,96,42,33,31,29,"1,076"
Apr-25,April,2025,Female,Health,Health,"3,391","3,667","2,194","1,251","1,087",313,482,158,"12,522"
Apr-25,April,2025,Female,Health,Mental health issues,"2,742","2,845","1,512",845,856,237,399,59,"9,478"
Apr-25,April,2025,Female,Health,Medical issues,"1,068","1,427",908,372,406,106,168,67,"4,520"
Apr-25,April,2025,Female,Health,Problematic drug or substance use,610,723,305,290,147,51,75,34,"2,233"
Apr-25,April,2025,Female,Health,Problematic alcohol use,225,248,164,162,65,16,30,40,950
Apr-25,April,2025,Female,Other,Other,"4,133","4,658","3,435","1,623",735,389,438,600,"15,990"
Apr-25,April,2025,Female,Other,Transition from custodial arrangements,214,229,70,45,49,18,15,5,645
Apr-25,April,2025,Female,Other,Transition from other care arrangements,122,158,94,72,10,15,18,13,501
Apr-25,April,2025,Female,Other,Unable to return home due to environmental reasons,284,264,273,91,71,26,56,10,"1,075"
Apr-25,April,2025,Female,Other,Lack of family and/or community support,"3,083","2,980","2,256","1,076",352,256,352,301,"10,644"
Apr-25,April,2025,Female,Other,Other (not elsewhere classified),674,"1,347",965,442,85,105,81,265,"3,964"
Apr-25,April,2025,Female,Total,Total Clients,"14,811","20,318","11,952","5,281","3,936","1,192","1,122","2,240","60,720"
Apr-25,April,2025,Male,Accommodation,Accommodation,"5,404","6,749","5,499","1,214","1,979",678,501,535,"22,517"
Apr-25,April,2025,Male,Accommodation,Housing crisis (e.g. eviction),"3,566","4,121","3,390",710,"1,589",329,345,134,"14,166"
Apr-25,April,2025,Male,Accommodation,Inadequate or inappropriate dwelling conditions,"1,995","3,705","2,980",704,343,349,248,370,"10,683"
Apr-25,April,2025,Male,Accommodation,Previous accommodation ended,"1,459","2,037","1,584",367,113,272,118,108,"6,055"
Apr-25,April,2025,Male,Financial,Financial,"4,641","6,341","4,934","1,272",816,414,505,436,"19,328"
Apr-25,April,2025,Male,Financial,Financial difficulties,"3,059","4,681","3,556",860,410,253,356,278,"13,441"
Apr-25,April,2025,Male,Financial,Housing affordability stress,"3,146","4,284","3,865",844,302,317,419,190,"13,347"
Apr-25,April,2025,Male,Financial,Employment difficulties,450,698,439,169,93,24,108,64,"2,043"
Apr-25,April,2025,Male,Financial,Unemployment,"1,103","1,521","1,070",396,331,77,158,128,"4,779"
Apr-25,April,2025,Male,Interpersonal,Interpersonal Relationships,"3,523","5,261","2,475","1,117",561,317,334,377,"13,953"
Apr-25,April,2025,Male,Interpersonal,Time out from family/other situation,734,904,560,258,32,104,88,184,"2,861"
Apr-25,April,2025,Male,Interpersonal,Relationship/family breakdown,"1,930","1,916","1,274",469,231,184,225,61,"6,285"
Apr-25,April,2025,Male,Interpersonal,Family and domestic violence,"2,046","3,639","1,382",751,312,99,180,199,"8,602"
Apr-25,April,2025,Male,Interpersonal,Non-family violence,187,237,92,30,24,20,14,6,610
Apr-25,April,2025,Male,Health,Health,"2,327","3,040","1,787",668,747,320,281,112,"9,273"
Apr-25,April,2025,Male,Health,Mental health issues,"1,748","2,151","1,075",341,491,210,203,37,"6,252"
