Month and Year,Month,Year,Sex,Group,Reason for seeking assistance,NSW,Vic,Qld,WA,SA,Tas,ACT,NT,National
Aug-19,August,2019,Female,Financial,Housing affordability stress,"3,786","5,432","2,196",832,291,568,366,261,"13,723"
Aug-19,August,2019,Female,Financial,Employment difficulties,659,745,244,109,71,43,72,54,"1,997"
Aug-19,August,2019,Female,Financial,Unemployment,"1,352","1,700",662,371,242,105,123,105,"4,658"
Aug-19,August,2019,Female,Financial,Problematic gambling,33,21,12,3,11,2,1,5,88
Aug-19,August,2019,Female,Interpersonal,Interpersonal Relationships,"7,608","12,837","3,381","2,710","1,781",751,565,921,"30,498"
Aug-19,August,2019,Female,Interpersonal,Time out from family/other situation,"1,341","1,356",680,505,132,284,156,234,"4,686"
Aug-19,August,2019,Female,Interpersonal,Relationship/family breakdown,"3,784","3,487","1,417","1,019",367,424,381,215,"11,083"
Aug-19,August,2019,Female,Interpersonal,Sexual abuse,318,456,132,184,47,30,38,38,"1,242"
Aug-19,August,2019,Female,Interpersonal,Family and domestic violence,"5,332","10,849","2,418","2,198","1,398",376,380,712,"23,618"
Aug-19,August,2019,Female,Interpersonal,Non-family violence,265,461,109,100,21,76,35,38,"1,103"
Aug-19,August,2019,Female,Health,Health,"3,275","4,151","1,393",928,868,523,321,226,"11,674"
Aug-19,August,2019,Female,Health,Mental health issues,"2,588","3,180",947,573,681,422,249,64,"8,701"
Aug-19,August,2019,Female,Health,Medical issues,898,"1,453",572,312,278,188,109,96,"3,903"
Aug-19,August,2019,Female,Health,Problematic drug or substance use,743,893,210,249,138,62,73,43,"2,408"
Aug-19,August,2019,Female,Health,Problematic alcohol use,271,222,115,122,54,28,30,78,919
Aug-19,August,2019,Female,Other,Other,"4,128","4,941","2,220","1,363",788,644,443,673,"15,186"
Aug-19,August,2019,Female,Other,Transition from custodial arrangements,203,320,51,41,50,27,25,19,735
Aug-19,August,2019,Female,Other,Transition from foster care and child safety residential placements,50,103,25,27,10,3,3,22,242
Aug-19,August,2019,Female,Other,Transition from other care arrangements,117,152,41,35,19,17,8,17,406
Aug-19,August,2019,Female,Other,Discrimination including racial discrimination,97,91,23,14,37,4,16,0,282
Aug-19,August,2019,Female,Other,Itinerant,336,421,154,93,143,107,10,29,"1,293"
Aug-19,August,2019,Female,Other,Unable to return home due to environmental reasons,341,271,107,121,76,41,47,24,"1,028"
Aug-19,August,2019,Female,Other,Disengagement with school or other education and training,381,300,81,50,156,14,15,33,"1,030"
Aug-19,August,2019,Female,Other,Lack of family and/or community support,"2,785","3,185","1,476",875,361,504,346,294,"9,817"
Aug-19,August,2019,Female,Other,Other (not elsewhere classified),"1,049","1,224",648,378,133,60,73,330,"3,895"
Aug-19,August,2019,Female,Not stated,Not stated,197,93,9,17,0,4,1,60,378
Aug-19,August,2019,Female,Total,Total Clients,"13,698","20,775","7,019","4,203","3,866","1,393",970,"1,918","53,714"
Aug-19,August,2019,Male,Accommodation,Accommodation,"5,350","7,203","3,193","1,102","1,733",832,435,545,"20,358"
Aug-19,August,2019,Male,Accommodation,Housing crisis (e.g. eviction),"3,449","4,422","1,886",603,990,458,267,274,"12,337"
Aug-19,August,2019,Male,Accommodation,Inadequate or inappropriate dwelling conditions,"2,056","3,789","1,587",508,672,455,195,290,"9,541"
Aug-19,August,2019,Male,Accommodation,Previous accommodation ended,"1,565","2,076",948,352,177,387,146,99,"5,743"
Aug-19,August,2019,Male,Financial,Financial,"4,693","6,413","2,773","1,156",650,620,354,361,"17,004"
Aug-19,August,2019,Male,Financial,Financial difficulties,"3,343","4,968","2,147",856,396,439,239,250,"12,627"
Aug-19,August,2019,Male,Financial,Housing affordability stress,"2,654","3,748","1,622",547,187,433,242,201,"9,629"
Aug-19,August,2019,Male,Financial,Employment difficulties,671,822,273,135,81,44,52,96,"2,174"
Aug-19,August,2019,Male,Financial,Unemployment,"1,289","1,579",736,408,244,128,103,116,"4,599"
Aug-19,August,2019,Male,Financial,Problematic gambling,75,33,28,6,14,2,1,3,162
Aug-19,August,2019,Male,Interpersonal,Interpersonal Relationships,"3,619","4,860","1,568","1,008",529,438,291,370,"12,670"
Aug-19,August,2019,Male,Interpersonal,Time out from family/other situation,751,897,436,276,40,197,76,164,"2,837"
Aug-19,August,2019,Male,Interpersonal,Relationship/family breakdown,"2,145","2,191",916,485,223,277,238,95,"6,565"
Aug-19,August,2019,Male,Interpersonal,Sexual abuse,84,99,25,17,7,8,7,2,249
Aug-19,August,2019,Male,Interpersonal,Family and domestic violence,"1,916","3,081",707,584,297,108,151,202,"7,042"
Aug-19,August,2019,Male,Interpersonal,Non-family violence,164,272,64,54,13,50,12,6,633
Aug-19,August,2019,Male,Health,Health,"2,634","3,524","1,164",645,703,459,186,207,"9,508"
Aug-19,August,2019,Male,Health,Mental health issues,"1,846","2,445",726,350,450,339,132,75,"6,355"
Aug-19,August,2019,Male,Health,Medical issues,813,"1,253",439,243,217,164,65,73,"3,265"
Aug-19,August,2019,Male,Health,Problematic drug or substance use,847,"1,153",254,226,216,103,44,47,"2,888"
Aug-19,August,2019,Male,Health,Problematic alcohol use,395,401,166,116,106,57,20,74,"1,335"
Aug-19,August,2019,Male,Other,Other,"3,136","4,135","1,758","1,036",675,546,334,454,"12,065"
Aug-19,August,2019,Male,Other,Transition from custodial arrangements,414,921,127,72,166,64,32,59,"1,855"
Aug-19,August,2019,Male,Other,Transition from foster care and child safety residential placements,25,67,28,22,3,5,3,11,164
Aug-19,August,2019,Male,Other,Transition from other care arrangements,119,143,49,41,39,41,21,10,463
Aug-19,August,2019,Male,Other,Discrimination including racial discrimination,70,74,13,13,24,2,8,0,204
Aug-19,August,2019,Male,Other,Itinerant,358,601,197,126,172,120,10,58,"1,640"
Aug-19,August,2019,Male,Other,Unable to return home due to environmental reasons,227,182,75,65,37,33,21,14,654
Aug-19,August,2019,Male,Other,Disengagement with school or other education and training,292,260,40,47,82,13,10,13,757
Aug-19,August,2019,Male,Other,Lack of family and/or community support,"1,814","2,142","1,017",571,233,377,162,171,"6,482"
Aug-19,August,2019,Male,Other,Other (not elsewhere classified),779,874,535,314,49,48,114,186,"2,899"
Aug-19,August,2019,Male,Not stated,Not stated,355,58,7,9,0,3,5,101,535
Aug-19,August,2019,Male,Total,Total Clients,"9,704","12,707","4,950","2,441","2,455","1,081",713,"1,199","35,181"
Aug-19,August,2019,Total,Accommodation,Accommodation,"12,232","16,113","7,117","2,552","4,147","1,852","1,062","1,330","46,327"
Aug-19,August,2019,Total,Accommodation,Housing crisis (e.g. eviction),"7,918","9,994","4,344","1,422","2,495","1,073",620,687,"28,525"
Aug-19,August,2019,Total,Accommodation,Inadequate or inappropriate dwelling conditions,"4,676","8,384","3,416","1,195","1,481",933,499,740,"21,299"
Aug-19,August,2019,Total,Accommodation,Previous accommodation ended,"3,564","4,566","1,983",795,467,835,378,193,"12,771"
Aug-19,August,2019,Total,Financial,Financial,"10,988","15,379","6,263","2,652","1,534","1,378",911,861,"39,920"
Aug-19,August,2019,Total,Financial,Financial difficulties,"7,955","12,116","4,877","2,002",988,990,650,584,"30,138"
Aug-19,August,2019,Total,Financial,Housing affordability stress,"6,440","9,180","3,818","1,379",478,"1,001",608,462,"23,352"
Aug-19,August,2019,Total,Financial,Employment difficulties,"1,330","1,567",517,244,152,87,124,150,"4,171"
Aug-19,August,2019,Total,Financial,Unemployment,"2,641","3,279","1,398",779,486,233,226,221,"9,257"
Aug-19,August,2019,Total,Financial,Problematic gambling,108,54,40,9,25,4,2,8,250
Aug-19,August,2019,Total,Interpersonal,Interpersonal Relationships,"11,227","17,697","4,949","3,718","2,310","1,189",856,"1,291","43,168"
Aug-19,August,2019,Total,Interpersonal,Time out from family/other situation,"2,092","2,253","1,116",781,172,481,232,398,"7,523"
Aug-19,August,2019,Total,Interpersonal,Relationship/family breakdown,"5,929","5,678","2,333","1,504",590,701,619,310,"17,648"
Aug-19,August,2019,Total,Interpersonal,Sexual abuse,402,555,157,201,54,38,45,40,"1,491"
Aug-19,August,2019,Total,Interpersonal,Family and domestic violence,"7,248","13,930","3,125","2,782","1,695",484,531,914,"30,660"
Aug-19,August,2019,Total,Interpersonal,Non-family violence,429,733,173,154,34,126,47,44,"1,736"
Aug-19,August,2019,Total,Health,Health,"5,909","7,675","2,557","1,573","1,571",982,507,433,"21,182"
Aug-19,August,2019,Total,Health,Mental health issues,"4,434","5,625","1,673",923,"1,131",761,381,139,"15,056"
Aug-19,August,2019,Total,Health,Medical issues,"1,711","2,706","1,011",555,495,352,174,169,"7,168"
Aug-19,August,2019,Total,Health,Problematic drug or substance use,"1,590","2,046",464,475,354,165,117,90,"5,296"
Aug-19,August,2019,Total,Health,Problematic alcohol use,666,623,281,238,160,85,50,152,"2,254"
Aug-19,August,2019,Total,Other,Other,"7,264","9,076","3,978","2,399","1,463","1,190",777,"1,127","27,251"
Aug-19,August,2019,Total,Other,Transition from custodial arrangements,617,"1,241",178,113,216,91,57,78,"2,590"
Aug-19,August,2019,Total,Other,Transition from foster care and child safety residential placements,75,170,53,49,13,8,6,33,406
Aug-19,August,2019,Total,Other,Transition from other care arrangements,236,295,90,76,58,58,29,27,869
Aug-19,August,2019,Total,Other,Discrimination including racial discrimination,167,165,36,27,61,6,24,0,486
Aug-19,August,2019,Total,Other,Itinerant,694,"1,022",351,219,315,227,20,87,"2,933"
Aug-19,August,2019,Total,Other,Unable to return home due to environmental reasons,568,453,182,186,113,74,68,38,"1,682"
Aug-19,August,2019,Total,Other,Disengagement with school or other education and training,673,560,121,97,238,27,25,46,"1,787"
Aug-19,August,2019,Total,Other,Lack of family and/or community support,"4,599","5,327","2,493","1,446",594,881,508,465,"16,299"
Aug-19,August,2019,Total,Other,Other (not elsewhere classified),"1,828","2,098","1,183",692,182,108,187,516,"6,794"
Aug-19,August,2019,Total,Not stated,Not stated,552,151,16,26,0,7,6,161,913
Aug-19,August,2019,Total,Total,Total Clients,"23,402","33,482","11,969","6,644","6,321","2,474","1,683","3,117","88,895"
Jul-19,July,2019,Female,Accommodation,Accommodation,"7,001","9,026","4,025","1,492","2,453","1,042",588,739,"26,316"
Jul-19,July,2019,Female,Accommodation,Housing crisis (e.g. eviction),"4,603","5,683","2,561",850,"1,541",617,328,385,"16,544"
Jul-19,July,2019,Female,Accommodation,Inadequate or inappropriate dwelling conditions,"2,679","4,564","1,875",693,802,501,273,415,"11,786"
Jul-19,July,2019,Female,Accommodation,Previous accommodation ended,"2,050","2,525","1,046",470,300,495,216,96,"7,194"
Jul-19,July,2019,Female,Financial,Financial,"6,378","8,942","3,537","1,495",905,762,529,471,"22,978"
Jul-19,July,2019,Female,Financial,Financial difficulties,"4,724","7,165","2,781","1,120",611,558,402,313,"17,653"
Jul-19,July,2019,Female,Financial,Housing affordability stress,"3,821","5,493","2,238",855,307,577,325,253,"13,854"
Jul-19,July,2019,Female,Financial,Employment difficulties,679,765,272,115,67,43,64,46,"2,051"
Jul-19,July,2019,Female,Financial,Unemployment,"1,350","1,688",700,373,253,107,133,105,"4,707"
Jul-19,July,2019,Female,Financial,Problematic gambling,33,20,20,2,12,1,3,6,97
Jul-19,July,2019,Female,Interpersonal,Interpersonal Relationships,"7,522","13,035","3,386","2,559","1,833",738,547,937,"30,497"
Jul-19,July,2019,Female,Interpersonal,Time out from family/other situation,"1,383","1,348",649,471,120,275,154,254,"4,652"
Jul-19,July,2019,Female,Interpersonal,Relationship/family breakdown,"3,765","3,607","1,449",958,376,419,366,212,"11,141"
Jul-19,July,2019,Female,Interpersonal,Sexual abuse,334,439,130,168,51,28,37,30,"1,215"
Jul-19,July,2019,Female,Interpersonal,Family and domestic violence,"5,314","10,997","2,404","2,048","1,458",381,362,708,"23,623"
Jul-19,July,2019,Female,Interpersonal,Non-family violence,261,476,104,104,25,67,39,44,"1,120"
Jul-19,July,2019,Female,Health,Health,"3,269","4,155","1,399",893,863,514,305,204,"11,593"
Jul-19,July,2019,Female,Health,Mental health issues,"2,558","3,202",962,559,666,423,240,59,"8,662"
Jul-19,July,2019,Female,Health,Medical issues,974,"1,485",573,288,279,186,94,85,"3,963"
Jul-19,July,2019,Female,Health,Problematic drug or substance use,728,884,201,239,135,51,70,39,"2,346"
Jul-19,July,2019,Female,Health,Problematic alcohol use,264,232,115,107,55,22,28,66,889
Jul-19,July,2019,Female,Other,Other,"4,162","4,959","2,252","1,339",756,618,415,671,"15,157"
Jul-19,July,2019,Female,Other,Transition from custodial arrangements,211,321,48,35,52,24,22,18,730
Jul-19,July,2019,Female,Other,Transition from foster care and child safety residential placements,54,106,31,25,11,4,2,22,255
Jul-19,July,2019,Female,Other,Transition from other care arrangements,119,151,48,40,19,16,10,18,421
Jul-19,July,2019,Female,Other,Discrimination including racial discrimination,103,106,22,16,34,4,11,0,296
Jul-19,July,2019,Female,Other,Itinerant,329,451,154,101,140,116,6,28,"1,323"
Jul-19,July,2019,Female,Other,Unable to return home due to environmental reasons,348,270,114,109,74,35,46,26,"1,022"
Jul-19,July,2019,Female,Other,Disengagement with school or other education and training,381,294,80,50,148,12,17,25,"1,006"
Jul-19,July,2019,Female,Other,Lack of family and/or community support,"2,836","3,212","1,496",828,334,483,324,275,"9,780"
Jul-19,July,2019,Female,Other,Other (not elsewhere classified),"1,025","1,215",641,411,138,51,69,349,"3,899"
Jul-19,July,2019,Female,Not stated,Not stated,179,100,8,16,0,2,0,70,373
Jul-19,July,2019,Female,Total,Total Clients,"13,659","20,917","7,060","4,135","3,901","1,378",917,"1,929","53,775"
Jul-19,July,2019,Male,Accommodation,Accommodation,"5,367","7,109","3,291","1,115","1,727",856,410,525,"20,349"
Jul-19,July,2019,Male,Accommodation,Housing crisis (e.g. eviction),"3,480","4,463","1,977",628,"1,007",472,250,248,"12,510"
Jul-19,July,2019,Male,Accommodation,Inadequate or inappropriate dwelling conditions,"2,111","3,642","1,659",507,659,462,174,279,"9,478"
Jul-19,July,2019,Male,Accommodation,Previous accommodation ended,"1,559","2,069",978,379,177,387,139,90,"5,769"
Jul-19,July,2019,Male,Financial,Financial,"4,758","6,373","2,784","1,099",643,617,342,351,"16,935"
Jul-19,July,2019,Male,Financial,Financial difficulties,"3,432","4,957","2,103",805,386,442,235,237,"12,575"
Jul-19,July,2019,Male,Financial,Housing affordability stress,"2,661","3,849","1,681",565,192,428,225,192,"9,782"
Jul-19,July,2019,Male,Financial,Employment difficulties,680,828,288,126,89,46,42,86,"2,184"
Jul-19,July,2019,Male,Financial,Unemployment,"1,314","1,519",734,388,264,142,100,108,"4,563"
Jul-19,July,2019,Male,Financial,Problematic gambling,73,36,31,8,13,3,1,3,168
Jul-19,July,2019,Male,Interpersonal,Interpersonal Relationships,"3,622","4,814","1,653","1,026",541,443,278,402,"12,756"
Jul-19,July,2019,Male,Interpersonal,Time out from family/other situation,753,846,432,293,49,201,71,178,"2,822"
Jul-19,July,2019,Male,Interpersonal,Relationship/family breakdown,"2,214","2,188",962,472,218,286,229,96,"6,651"
Jul-19,July,2019,Male,Interpersonal,Sexual abuse,77,101,26,15,6,8,7,2,242
Jul-19,July,2019,Male,Interpersonal,Family and domestic violence,"1,893","3,055",768,568,306,104,144,216,"7,047"
Jul-19,July,2019,Male,Interpersonal,Non-family violence,167,259,67,48,12,49,11,7,620
Jul-19,July,2019,Male,Health,Health,"2,670","3,542","1,155",634,714,489,170,189,"9,546"
Jul-19,July,2019,Male,Health,Mental health issues,"1,855","2,480",718,357,444,356,129,65,"6,394"
Jul-19,July,2019,Male,Health,Medical issues,820,"1,279",431,234,234,179,55,67,"3,294"
Jul-19,July,2019,Male,Health,Problematic drug or substance use,863,"1,110",269,238,216,100,41,42,"2,878"
Jul-19,July,2019,Male,Health,Problematic alcohol use,379,395,160,111,107,64,20,67,"1,303"
Jul-19,July,2019,Male,Other,Other,"3,115","4,261","1,755","1,001",684,552,332,459,"12,145"
Jul-19,July,2019,Male,Other,Transition from custodial arrangements,387,934,120,74,168,58,29,51,"1,821"
Jul-19,July,2019,Male,Other,Transition from foster care and child safety residential placements,20,70,32,22,3,7,3,9,166
Jul-19,July,2019,Male,Other,Transition from other care arrangements,109,147,47,37,42,47,25,14,468
Jul-19,July,2019,Male,Other,Discrimination including racial discrimination,73,74,18,14,20,1,4,0,204
Jul-19,July,2019,Male,Other,Itinerant,337,636,187,137,166,120,8,57,"1,648"
Jul-19,July,2019,Male,Other,Unable to return home due to environmental reasons,221,158,80,57,38,27,18,16,615
Jul-19,July,2019,Male,Other,Disengagement with school or other education and training,301,253,39,48,86,14,7,13,761
Jul-19,July,2019,Male,Other,Lack of family and/or community support,"1,832","2,193","1,049",514,226,390,159,173,"6,531"
Jul-19,July,2019,Male,Other,Other (not elsewhere classified),760,932,496,323,58,42,114,196,"2,921"
Jul-19,July,2019,Male,Not stated,Not stated,334,70,7,10,0,4,4,119,548
Jul-19,July,2019,Male,Total,Total Clients,"9,633","12,557","5,014","2,452","2,443","1,105",695,"1,245","35,058"
Jul-19,July,2019,Total,Accommodation,Accommodation,"12,368","16,135","7,316","2,607","4,180","1,898",998,"1,264","46,665"
Jul-19,July,2019,Total,Accommodation,Housing crisis (e.g. eviction),"8,083","10,146","4,538","1,478","2,548","1,089",578,633,"29,054"
Jul-19,July,2019,Total,Accommodation,Inadequate or inappropriate dwelling conditions,"4,790","8,206","3,534","1,200","1,461",963,447,694,"21,264"
Jul-19,July,2019,Total,Accommodation,Previous accommodation ended,"3,609","4,594","2,024",849,477,882,355,186,"12,963"
Jul-19,July,2019,Total,Financial,Financial,"11,136","15,315","6,321","2,594","1,548","1,379",871,822,"39,913"
Jul-19,July,2019,Total,Financial,Financial difficulties,"8,156","12,122","4,884","1,925",997,"1,000",637,550,"30,228"
Jul-19,July,2019,Total,Financial,Housing affordability stress,"6,482","9,342","3,919","1,420",499,"1,005",550,445,"23,636"
Jul-19,July,2019,Total,Financial,Employment difficulties,"1,359","1,593",560,241,156,89,106,132,"4,235"
Jul-19,July,2019,Total,Financial,Unemployment,"2,664","3,207","1,434",761,517,249,233,213,"9,270"
Jul-19,July,2019,Total,Financial,Problematic gambling,106,56,51,10,25,4,4,9,265
Jul-19,July,2019,Total,Interpersonal,Interpersonal Relationships,"11,144","17,849","5,039","3,585","2,374","1,181",825,"1,339","43,253"
Jul-19,July,2019,Total,Interpersonal,Time out from family/other situation,"2,136","2,194","1,081",764,169,476,225,432,"7,474"
Jul-19,July,2019,Total,Interpersonal,Relationship/family breakdown,"5,979","5,795","2,411","1,430",594,705,595,308,"17,792"
Jul-19,July,2019,Total,Interpersonal,Sexual abuse,411,540,156,183,57,36,44,32,"1,457"
Jul-19,July,2019,Total,Interpersonal,Family and domestic violence,"7,207","14,052","3,172","2,616","1,764",485,506,924,"30,670"
Jul-19,July,2019,Total,Interpersonal,Non-family violence,428,735,171,152,37,116,50,51,"1,740"
Jul-19,July,2019,Total,Health,Health,"5,939","7,697","2,554","1,527","1,577","1,003",475,393,"21,139"
Jul-19,July,2019,Total,Health,Mental health issues,"4,413","5,682","1,680",916,"1,110",779,369,124,"15,056"
Jul-19,July,2019,Total,Health,Medical issues,"1,794","2,764","1,004",522,513,365,149,152,"7,257"
Jul-19,July,2019,Total,Health,Problematic drug or substance use,"1,591","1,994",470,477,351,151,111,81,"5,224"
Jul-19,July,2019,Total,Health,Problematic alcohol use,643,627,275,218,162,86,48,133,"2,192"
Jul-19,July,2019,Total,Other,Other,"7,277","9,220","4,007","2,340","1,440","1,170",747,"1,130","27,302"
Jul-19,July,2019,Total,Other,Transition from custodial arrangements,598,"1,255",168,109,220,82,51,69,"2,551"
Jul-19,July,2019,Total,Other,Transition from foster care and child safety residential placements,74,176,63,47,14,11,5,31,421
Jul-19,July,2019,Total,Other,Transition from other care arrangements,228,298,95,77,61,63,35,32,889
Jul-19,July,2019,Total,Other,Discrimination including racial discrimination,176,180,40,30,54,5,15,0,500
Jul-19,July,2019,Total,Other,Itinerant,666,"1,087",341,238,306,236,14,85,"2,971"
Jul-19,July,2019,Total,Other,Unable to return home due to environmental reasons,569,428,194,166,112,62,64,42,"1,637"
Jul-19,July,2019,Total,Other,Disengagement with school or other education and training,682,547,119,98,234,26,24,38,"1,767"
Jul-19,July,2019,Total,Other,Lack of family and/or community support,"4,668","5,405","2,545","1,342",560,873,483,448,"16,311"
Jul-19,July,2019,Total,Other,Other (not elsewhere classified),"1,785","2,147","1,137",734,196,93,183,545,"6,820"
Jul-19,July,2019,Total,Not stated,Not stated,513,170,15,26,0,6,4,189,921
Jul-19,July,2019,Total,Total,Total Clients,"23,292","33,474","12,074","6,587","6,344","2,483","1,612","3,174","88,833"
Jun-19,June,2019,Female,Accommodation,Accommodation,"6,918","8,900","3,996","1,506","2,382",996,560,741,"25,961"
Jun-19,June,2019,Female,Accommodation,Housing crisis (e.g. eviction),"4,545","5,694","2,564",890,"1,491",616,323,387,"16,498"
Jun-19,June,2019,Female,Accommodation,Inadequate or inappropriate dwelling conditions,"2,614","4,465","1,867",686,778,469,246,415,"11,531"
Jun-19,June,2019,Female,Accommodation,Previous accommodation ended,"2,009","2,385","1,059",467,292,460,204,96,"6,965"
Jun-19,June,2019,Female,Financial,Financial,"6,359","9,031","3,636","1,616",862,719,506,484,"23,193"
Jun-19,June,2019,Female,Financial,Financial difficulties,"4,691","7,307","2,870","1,237",594,522,373,319,"17,898"
Jun-19,June,2019,Female,Financial,Housing affordability stress,"3,823","5,461","2,316",926,284,538,308,249,"13,901"
Jun-19,June,2019,Female,Financial,Employment difficulties,675,755,268,124,57,40,51,48,"2,018"
Jun-19,June,2019,Female,Financial,Unemployment,"1,332","1,669",688,409,224,108,125,96,"4,650"
Jun-19,June,2019,Female,Financial,Problematic gambling,32,19,20,2,11,1,3,5,93
Jun-19,June,2019,Female,Interpersonal,Interpersonal Relationships,"7,501","12,429","3,327","2,554","1,751",715,522,869,"29,609"
Jun-19,June,2019,Female,Interpersonal,Time out from family/other situation,"1,302","1,337",643,465,119,277,140,212,"4,495"
Jun-19,June,2019,Female,Interpersonal,Relationship/family breakdown,"3,691","3,543","1,385","1,013",334,409,350,218,"10,933"
Jun-19,June,2019,Female,Interpersonal,Sexual abuse,315,423,136,173,49,32,36,25,"1,186"
Jun-19,June,2019,Female,Interpersonal,Family and domestic violence,"5,296","10,449","2,327","2,083","1,409",373,343,667,"22,897"
Jun-19,June,2019,Female,Interpersonal,Non-family violence,268,462,107,101,20,69,38,41,"1,106"
Jun-19,June,2019,Female,Health,Health,"3,235","4,008","1,407",959,817,501,285,204,"11,401"
Jun-19,June,2019,Female,Health,Mental health issues,"2,523","3,093",964,593,613,414,220,55,"8,466"
Jun-19,June,2019,Female,Health,Medical issues,989,"1,360",562,307,278,188,91,91,"3,863"
Jun-19,June,2019,Female,Health,Problematic drug or substance use,682,825,194,260,131,44,68,37,"2,240"
Jun-19,June,2019,Female,Health,Problematic alcohol use,245,221,122,127,55,18,25,66,879
Jun-19,June,2019,Female,Other,Other,"4,222","4,782","2,219","1,349",693,564,384,688,"14,895"
Jun-19,June,2019,Female,Other,Transition from custodial arrangements,211,296,50,35,36,19,23,19,689
Jun-19,June,2019,Female,Other,Transition from foster care and child safety residential placements,48,105,33,20,12,4,2,22,246
Jun-19,June,2019,Female,Other,Transition from other care arrangements,124,153,47,38,17,20,6,18,423
Jun-19,June,2019,Female,Other,Discrimination including racial discrimination,101,88,21,16,36,5,6,1,274
Jun-19,June,2019,Female,Other,Itinerant,312,393,164,113,143,97,5,31,"1,258"
Jun-19,June,2019,Female,Other,Unable to return home due to environmental reasons,308,292,110,102,70,30,35,30,977
Jun-19,June,2019,Female,Other,Disengagement with school or other education and training,389,281,87,45,142,6,16,27,993
Jun-19,June,2019,Female,Other,Lack of family and/or community support,"2,823","3,119","1,459",872,294,447,293,282,"9,583"
Jun-19,June,2019,Female,Other,Other (not elsewhere classified),"1,095","1,132",646,346,113,46,63,359,"3,800"
Jun-19,June,2019,Female,Not stated,Not stated,165,105,7,17,0,3,0,74,371
Jun-19,June,2019,Female,Total,Total Clients,"13,667","20,359","7,053","4,150","3,759","1,331",882,"1,915","53,009"
Jun-19,June,2019,Male,Accommodation,Accommodation,"5,292","6,944","3,335","1,095","1,712",818,390,535,"20,085"
Jun-19,June,2019,Male,Accommodation,Housing crisis (e.g. eviction),"3,490","4,388","2,018",632,"1,011",480,238,243,"12,486"
Jun-19,June,2019,Male,Accommodation,Inadequate or inappropriate dwelling conditions,"2,045","3,576","1,683",492,654,437,156,292,"9,321"
Jun-19,June,2019,Male,Accommodation,Previous accommodation ended,"1,540","1,906",985,363,164,367,127,92,"5,540"
Jun-19,June,2019,Male,Financial,Financial,"4,806","6,320","2,897","1,091",650,595,310,353,"16,998"
Jun-19,June,2019,Male,Financial,Financial difficulties,"3,427","4,929","2,196",807,391,435,213,233,"12,615"
Jun-19,June,2019,Male,Financial,Housing affordability stress,"2,675","3,744","1,772",573,194,417,198,198,"9,764"
Jun-19,June,2019,Male,Financial,Employment difficulties,680,763,295,109,81,42,35,87,"2,092"
Jun-19,June,2019,Male,Financial,Unemployment,"1,355","1,467",724,395,254,126,81,106,"4,505"
Jun-19,June,2019,Male,Financial,Problematic gambling,77,36,30,9,10,3,1,1,167
Jun-19,June,2019,Male,Interpersonal,Interpersonal Relationships,"3,611","4,714","1,725","1,023",537,412,266,373,"12,642"
Jun-19,June,2019,Male,Interpersonal,Time out from family/other situation,755,822,440,282,46,196,60,162,"2,762"
Jun-19,June,2019,Male,Interpersonal,Relationship/family breakdown,"2,140","2,081",917,485,211,269,215,108,"6,422"
Jun-19,June,2019,Male,Interpersonal,Sexual abuse,79,105,35,22,4,4,5,1,255
Jun-19,June,2019,Male,Interpersonal,Family and domestic violence,"1,876","3,037",836,585,312,102,138,210,"7,084"
Jun-19,June,2019,Male,Interpersonal,Non-family violence,177,268,74,50,14,42,13,8,646
Jun-19,June,2019,Male,Health,Health,"2,667","3,369","1,127",630,664,461,150,218,"9,270"
Jun-19,June,2019,Male,Health,Mental health issues,"1,851","2,368",701,356,408,333,110,73,"6,192"
Jun-19,June,2019,Male,Health,Medical issues,815,"1,195",414,242,226,176,47,79,"3,190"
Jun-19,June,2019,Male,Health,Problematic drug or substance use,836,"1,041",262,225,205,98,38,44,"2,747"
Jun-19,June,2019,Male,Health,Problematic alcohol use,387,396,159,106,92,70,20,86,"1,316"
Jun-19,June,2019,Male,Other,Other,"3,133","4,048","1,721",976,649,512,321,490,"11,840"
Jun-19,June,2019,Male,Other,Transition from custodial arrangements,372,877,113,81,134,51,28,53,"1,709"
Jun-19,June,2019,Male,Other,Transition from foster care and child safety residential placements,24,59,25,23,3,8,5,8,155
Jun-19,June,2019,Male,Other,Transition from other care arrangements,113,133,41,38,32,43,24,23,447
Jun-19,June,2019,Male,Other,Discrimination including racial discrimination,78,77,19,16,29,2,4,0,225
Jun-19,June,2019,Male,Other,Itinerant,343,622,187,118,179,113,7,59,"1,627"
Jun-19,June,2019,Male,Other,Unable to return home due to environmental reasons,212,159,82,73,39,23,18,16,622
Jun-19,June,2019,Male,Other,Disengagement with school or other education and training,311,214,42,51,88,7,3,13,729
Jun-19,June,2019,Male,Other,Lack of family and/or community support,"1,815","2,110","1,015",546,209,358,148,178,"6,374"
Jun-19,June,2019,Male,Other,Other (not elsewhere classified),781,856,517,262,57,44,116,213,"2,845"
Jun-19,June,2019,Male,Not stated,Not stated,333,71,5,13,0,4,4,91,519
Jun-19,June,2019,Male,Total,Total Clients,"9,694","12,402","5,172","2,360","2,396","1,080",682,"1,228","34,935"
Jun-19,June,2019,Total,Accommodation,Accommodation,"12,210","15,844","7,331","2,601","4,094","1,814",950,"1,276","46,046"
Jun-19,June,2019,Total,Accommodation,Housing crisis (e.g. eviction),"8,035","10,082","4,582","1,522","2,502","1,096",561,630,"28,984"
